Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
C1_1_1,R0201,14.4mm,46.2mm,14.4mm,46.2mm,14.06mm,46.4mm,T,330,Comment
C1_2_1,R0201,13.61mm,44.5mm,13.61mm,44.5mm,13.23mm,44.61mm,T,345,Comment
C1_3_1,R0201,15.52mm,47.58mm,15.52mm,47.58mm,15.23mm,47.87mm,T,315,Comment
C1_4_1,R0201,18.5mm,49.39mm,18.5mm,49.39mm,18.39mm,49.77mm,T,285,Comment
C1_5_1,R0201,27.41mm,44.3mm,27.41mm,44.3mm,27.03mm,44.19mm,T,15,Comment
C1_6_1,R0201,22.4mm,35.6mm,22.4mm,35.6mm,22.5mm,35.21mm,T,105,Comment
C1_7_1,R0201,13.6mm,40.6mm,13.6mm,40.6mm,13.99mm,40.7mm,T,195,Comment
C1_8_1,R0201,15.5mm,37.4mm,15.5mm,37.4mm,15.22mm,37.12mm,T,45,Comment
C1_9_1,R0201,25.4mm,37.3mm,25.4mm,37.3mm,25.68mm,37.02mm,T,135,Comment
C1_10_1,R0201,25.62mm,47.52mm,25.62mm,47.52mm,25.9mm,47.8mm,T,225,Comment
C1_11_1,R0201,18.7mm,35.5mm,18.7mm,35.5mm,18.6mm,35.11mm,T,75,Comment
C1_12_1,R0201,27.4mm,40.5mm,27.4mm,40.5mm,27.79mm,40.4mm,T,165,Comment
C1_13_1,R0201,22.4mm,49.41mm,22.4mm,49.41mm,22.5mm,49.8mm,T,255,Comment
C2_1_1,R0201,26.5mm,38.75mm,26.5mm,38.75mm,26.85mm,38.55mm,T,150,Comment
C3_1_1,R0201,24.2mm,48.65mm,24.2mm,48.65mm,24.4mm,49mm,T,240,Comment
C4_1_1,R0201,17mm,36.25mm,17mm,36.25mm,16.8mm,35.9mm,T,60,Comment
C5_1_1,R0201,14.35mm,38.9mm,14.35mm,38.9mm,14.01mm,38.7mm,T,30,Comment
C6_1_1,R0201,16.9mm,48.75mm,16.9mm,48.75mm,16.7mm,49.09mm,T,300,Comment
C7_1_1,R0201,26.75mm,46mm,26.75mm,46mm,27.1mm,46.2mm,T,210,Comment
C8_1_1,R0201,24mm,36.25mm,24mm,36.25mm,24.2mm,35.9mm,T,120,Comment
C9_1_1,R0201,27.7mm,42.6mm,27.7mm,42.6mm,28.1mm,42.6mm,T,180,Comment
C10_1_1,R0201,20.4mm,49.7mm,20.4mm,49.7mm,20.4mm,50.1mm,T,270,Comment
C11_1_1,R0201,13.3mm,42.5mm,13.3mm,42.5mm,12.9mm,42.5mm,T,0,Comment
C11_2,R0201,19.8mm,21.3mm,19.8mm,21.3mm,19.4mm,21.3mm,T,0,Comment
C11_2_1,R0201,21.9mm,21.3mm,21.9mm,21.3mm,21.5mm,21.3mm,T,0,Comment
C11_2_1_1,R0201,42.9mm,21.3mm,42.9mm,21.3mm,42.5mm,21.3mm,T,0,Comment
C11_2_1_2,R0201,63.9mm,21.3mm,63.9mm,21.3mm,63.5mm,21.3mm,T,0,Comment
C11_2_2,R0201,40.8mm,21.3mm,40.8mm,21.3mm,40.4mm,21.3mm,T,0,Comment
C11_2_3,R0201,61.8mm,21.3mm,61.8mm,21.3mm,61.4mm,21.3mm,T,0,Comment
C11_3,R0201,19.8mm,19.97mm,19.8mm,19.97mm,19.4mm,19.97mm,T,0,Comment
C11_3_1,R0201,21.9mm,19.97mm,21.9mm,19.97mm,21.5mm,19.97mm,T,0,Comment
C11_3_1_1,R0201,42.9mm,19.97mm,42.9mm,19.97mm,42.5mm,19.97mm,T,0,Comment
C11_3_1_2,R0201,63.9mm,19.97mm,63.9mm,19.97mm,63.5mm,19.97mm,T,0,Comment
C11_3_2,R0201,40.8mm,19.97mm,40.8mm,19.97mm,40.4mm,19.97mm,T,0,Comment
C11_3_3,R0201,61.8mm,19.97mm,61.8mm,19.97mm,61.4mm,19.97mm,T,0,Comment
C11_4,R0201,19.8mm,18.64mm,19.8mm,18.64mm,19.4mm,18.64mm,T,0,Comment
C11_4_1,R0201,21.9mm,18.64mm,21.9mm,18.64mm,21.5mm,18.64mm,T,0,Comment
C11_4_1_1,R0201,42.9mm,18.64mm,42.9mm,18.64mm,42.5mm,18.64mm,T,0,Comment
C11_4_1_2,R0201,63.9mm,18.64mm,63.9mm,18.64mm,63.5mm,18.64mm,T,0,Comment
C11_4_2,R0201,40.8mm,18.64mm,40.8mm,18.64mm,40.4mm,18.64mm,T,0,Comment
C11_4_3,R0201,61.8mm,18.64mm,61.8mm,18.64mm,61.4mm,18.64mm,T,0,Comment
C11_5,R0201,19.8mm,17.31mm,19.8mm,17.31mm,19.4mm,17.31mm,T,0,Comment
C11_5_1,R0201,21.9mm,17.31mm,21.9mm,17.31mm,21.5mm,17.31mm,T,0,Comment
C11_5_1_1,R0201,42.9mm,17.31mm,42.9mm,17.31mm,42.5mm,17.31mm,T,0,Comment
C11_5_1_2,R0201,63.9mm,17.31mm,63.9mm,17.31mm,63.5mm,17.31mm,T,0,Comment
C11_5_2,R0201,40.8mm,17.31mm,40.8mm,17.31mm,40.4mm,17.31mm,T,0,Comment
C11_5_3,R0201,61.8mm,17.31mm,61.8mm,17.31mm,61.4mm,17.31mm,T,0,Comment
C11_6,R0201,19.8mm,15.99mm,19.8mm,15.99mm,19.4mm,15.99mm,T,0,Comment
C11_6_1,R0201,21.9mm,15.99mm,21.9mm,15.99mm,21.5mm,15.99mm,T,0,Comment
C11_6_1_1,R0201,42.9mm,15.99mm,42.9mm,15.99mm,42.5mm,15.99mm,T,0,Comment
C11_6_1_2,R0201,63.9mm,15.99mm,63.9mm,15.99mm,63.5mm,15.99mm,T,0,Comment
C11_6_2,R0201,40.8mm,15.99mm,40.8mm,15.99mm,40.4mm,15.99mm,T,0,Comment
C11_6_3,R0201,61.8mm,15.99mm,61.8mm,15.99mm,61.4mm,15.99mm,T,0,Comment
C11_7,R0201,19.8mm,14.66mm,19.8mm,14.66mm,19.4mm,14.66mm,T,0,Comment
C11_7_1,R0201,21.9mm,14.66mm,21.9mm,14.66mm,21.5mm,14.66mm,T,0,Comment
C11_7_1_1,R0201,42.9mm,14.66mm,42.9mm,14.66mm,42.5mm,14.66mm,T,0,Comment
C11_7_1_2,R0201,63.9mm,14.66mm,63.9mm,14.66mm,63.5mm,14.66mm,T,0,Comment
C11_7_2,R0201,40.8mm,14.66mm,40.8mm,14.66mm,40.4mm,14.66mm,T,0,Comment
C11_7_3,R0201,61.8mm,14.66mm,61.8mm,14.66mm,61.4mm,14.66mm,T,0,Comment
C11_8,R0201,19.8mm,13.33mm,19.8mm,13.33mm,19.4mm,13.33mm,T,0,Comment
C11_8_1,R0201,21.9mm,13.33mm,21.9mm,13.33mm,21.5mm,13.33mm,T,0,Comment
C11_8_1_1,R0201,42.9mm,13.33mm,42.9mm,13.33mm,42.5mm,13.33mm,T,0,Comment
C11_8_1_2,R0201,63.9mm,13.33mm,63.9mm,13.33mm,63.5mm,13.33mm,T,0,Comment
C11_8_2,R0201,40.8mm,13.33mm,40.8mm,13.33mm,40.4mm,13.33mm,T,0,Comment
C11_8_3,R0201,61.8mm,13.33mm,61.8mm,13.33mm,61.4mm,13.33mm,T,0,Comment
C11_9,R0201,19.8mm,12mm,19.8mm,12mm,19.4mm,12mm,T,0,Comment
C11_9_1,R0201,21.9mm,12mm,21.9mm,12mm,21.5mm,12mm,T,0,Comment
C11_9_1_1,R0201,42.9mm,12mm,42.9mm,12mm,42.5mm,12mm,T,0,Comment
C11_9_1_2,R0201,63.9mm,12mm,63.9mm,12mm,63.5mm,12mm,T,0,Comment
C11_9_2,R0201,40.8mm,12mm,40.8mm,12mm,40.4mm,12mm,T,0,Comment
C11_9_3,R0201,61.8mm,12mm,61.8mm,12mm,61.4mm,12mm,T,0,Comment
C11_10,R0201,19.8mm,10.67mm,19.8mm,10.67mm,19.4mm,10.67mm,T,0,Comment
C11_10_1,R0201,21.9mm,10.67mm,21.9mm,10.67mm,21.5mm,10.67mm,T,0,Comment
C11_10_1_1,R0201,42.9mm,10.67mm,42.9mm,10.67mm,42.5mm,10.67mm,T,0,Comment
C11_10_1_2,R0201,63.9mm,10.67mm,63.9mm,10.67mm,63.5mm,10.67mm,T,0,Comment
C11_10_2,R0201,40.8mm,10.67mm,40.8mm,10.67mm,40.4mm,10.67mm,T,0,Comment
C11_10_3,R0201,61.8mm,10.67mm,61.8mm,10.67mm,61.4mm,10.67mm,T,0,Comment
C11_11,R0201,19.8mm,9.34mm,19.8mm,9.34mm,19.4mm,9.34mm,T,0,Comment
C11_11_1,R0201,21.9mm,9.34mm,21.9mm,9.34mm,21.5mm,9.34mm,T,0,Comment
C11_11_1_1,R0201,42.9mm,9.34mm,42.9mm,9.34mm,42.5mm,9.34mm,T,0,Comment
C11_11_1_2,R0201,63.9mm,9.34mm,63.9mm,9.34mm,63.5mm,9.34mm,T,0,Comment
C11_11_2,R0201,40.8mm,9.34mm,40.8mm,9.34mm,40.4mm,9.34mm,T,0,Comment
C11_11_3,R0201,61.8mm,9.34mm,61.8mm,9.34mm,61.4mm,9.34mm,T,0,Comment
C11_12,R0201,19.8mm,8.01mm,19.8mm,8.01mm,19.4mm,8.01mm,T,0,Comment
C11_12_1,R0201,21.9mm,8.01mm,21.9mm,8.01mm,21.5mm,8.01mm,T,0,Comment
C11_12_1_1,R0201,42.9mm,8.01mm,42.9mm,8.01mm,42.5mm,8.01mm,T,0,Comment
C11_12_1_2,R0201,63.9mm,8.01mm,63.9mm,8.01mm,63.5mm,8.01mm,T,0,Comment
C11_12_2,R0201,40.8mm,8.01mm,40.8mm,8.01mm,40.4mm,8.01mm,T,0,Comment
C11_12_3,R0201,61.8mm,8.01mm,61.8mm,8.01mm,61.4mm,8.01mm,T,0,Comment
C11_13,R0201,19.8mm,6.69mm,19.8mm,6.69mm,19.4mm,6.69mm,T,0,Comment
C11_13_1,R0201,21.9mm,6.69mm,21.9mm,6.69mm,21.5mm,6.69mm,T,0,Comment
C11_13_1_1,R0201,42.9mm,6.69mm,42.9mm,6.69mm,42.5mm,6.69mm,T,0,Comment
C11_13_1_2,R0201,63.9mm,6.69mm,63.9mm,6.69mm,63.5mm,6.69mm,T,0,Comment
C11_13_2,R0201,40.8mm,6.69mm,40.8mm,6.69mm,40.4mm,6.69mm,T,0,Comment
C11_13_3,R0201,61.8mm,6.69mm,61.8mm,6.69mm,61.4mm,6.69mm,T,0,Comment
C11_14,R0201,19.8mm,5.36mm,19.8mm,5.36mm,19.4mm,5.36mm,T,0,Comment
C11_14_1,R0201,21.9mm,5.36mm,21.9mm,5.36mm,21.5mm,5.36mm,T,0,Comment
C11_14_1_1,R0201,42.9mm,5.36mm,42.9mm,5.36mm,42.5mm,5.36mm,T,0,Comment
C11_14_1_2,R0201,63.9mm,5.36mm,63.9mm,5.36mm,63.5mm,5.36mm,T,0,Comment
C11_14_2,R0201,40.8mm,5.36mm,40.8mm,5.36mm,40.4mm,5.36mm,T,0,Comment
C11_14_3,R0201,61.8mm,5.36mm,61.8mm,5.36mm,61.4mm,5.36mm,T,0,Comment
C11_15,R0201,19.8mm,4.03mm,19.8mm,4.03mm,19.4mm,4.03mm,T,0,Comment
C11_15_1,R0201,21.9mm,4.03mm,21.9mm,4.03mm,21.5mm,4.03mm,T,0,Comment
C11_15_1_1,R0201,42.9mm,4.03mm,42.9mm,4.03mm,42.5mm,4.03mm,T,0,Comment
C11_15_1_2,R0201,63.9mm,4.03mm,63.9mm,4.03mm,63.5mm,4.03mm,T,0,Comment
C11_15_2,R0201,40.8mm,4.03mm,40.8mm,4.03mm,40.4mm,4.03mm,T,0,Comment
C11_15_3,R0201,61.8mm,4.03mm,61.8mm,4.03mm,61.4mm,4.03mm,T,0,Comment
C11_16,R0201,19.8mm,2.7mm,19.8mm,2.7mm,19.4mm,2.7mm,T,0,Comment
C11_16_1,R0201,21.9mm,2.7mm,21.9mm,2.7mm,21.5mm,2.7mm,T,0,Comment
C11_16_1_1,R0201,42.9mm,2.7mm,42.9mm,2.7mm,42.5mm,2.7mm,T,0,Comment
C11_16_1_2,R0201,63.9mm,2.7mm,63.9mm,2.7mm,63.5mm,2.7mm,T,0,Comment
C11_16_2,R0201,40.8mm,2.7mm,40.8mm,2.7mm,40.4mm,2.7mm,T,0,Comment
C11_16_3,R0201,61.8mm,2.7mm,61.8mm,2.7mm,61.4mm,2.7mm,T,0,Comment
C12_1_1,R0201,20.5mm,35.25mm,20.5mm,35.25mm,20.5mm,34.85mm,T,90,Comment
Designator24_1,R0402,10.69mm,42.5mm,11.3mm,42.5mm,11.3mm,42.5mm,T,180,Comment
Designator25_1,R0402,30.29mm,42.6mm,30.9mm,42.6mm,30.9mm,42.6mm,T,180,Comment
Designator26_1,R0402,20.4mm,52.31mm,20.4mm,52.92mm,20.4mm,52.92mm,T,270,Comment
Designator27_1,R0402,20.5mm,32.69mm,20.5mm,33.3mm,20.5mm,33.3mm,T,270,Comment
Designator28,SOP4,36mm,58mm,36mm,58mm,37.38mm,54.83mm,T,135,Comment
Designator28_1,R0402,11.01mm,39.84mm,10.42mm,39.68mm,10.42mm,39.68mm,T,15,Comment
Designator29_1,R0402,12.07mm,37.49mm,11.54mm,37.19mm,11.54mm,37.19mm,T,30,Comment
Designator30,SOT23-6,87.06mm,43.04mm,87.06mm,43.04mm,85.98mm,43.99mm,T,90,Comment
Designator30_1,R0402,13.67mm,35.47mm,13.23mm,35.03mm,13.23mm,35.03mm,T,45,Comment
Designator31_1,R0402,15.69mm,33.97mm,15.39mm,33.44mm,15.39mm,33.44mm,T,60,Comment
Designator32,SOP4,5mm,27mm,5mm,27mm,6.38mm,23.83mm,T,135,Comment
Designator32_1,R0402,18.04mm,33.01mm,17.88mm,32.42mm,17.88mm,32.42mm,T,75,Comment
Designator33,SOP4,36mm,27mm,36mm,27mm,39.17mm,28.38mm,T,225,Comment
Designator33_1,R0402,23.16mm,32.91mm,23.32mm,32.32mm,23.32mm,32.32mm,T,105,Comment
Designator34,SOP4,5mm,58mm,5mm,58mm,8.17mm,59.38mm,T,225,Comment
Designator34_1,R0402,29.89mm,45.06mm,30.48mm,45.22mm,30.48mm,45.22mm,T,195,Comment
Designator35_1,R0402,17.84mm,51.89mm,17.68mm,52.48mm,17.68mm,52.48mm,T,285,Comment
Designator36_1,R0402,25.41mm,33.97mm,25.71mm,33.44mm,25.71mm,33.44mm,T,120,Comment
Designator37,SOT23-6,95.3mm,43.14mm,95.3mm,43.14mm,94.23mm,44.09mm,T,90,Comment
Designator37_1,R0402,29.03mm,47.31mm,29.56mm,47.61mm,29.56mm,47.61mm,T,210,Comment
Designator38_1,R0402,15.59mm,51.03mm,15.29mm,51.56mm,15.29mm,51.56mm,T,300,Comment
Designator39_1,R0402,27.33mm,35.47mm,27.77mm,35.03mm,27.77mm,35.03mm,T,135,Comment
Designator40_1,R0402,27.43mm,49.43mm,27.87mm,49.87mm,27.87mm,49.87mm,T,225,Comment
Designator41_1,R0402,13.57mm,49.43mm,13.13mm,49.87mm,13.13mm,49.87mm,T,315,Comment
Designator42,MSOP10,103.06mm,52.3mm,100.6mm,53.3mm,100.6mm,53.3mm,T,0,Comment
Designator42_1,R0402,28.83mm,37.39mm,29.36mm,37.09mm,29.36mm,37.09mm,T,150,Comment
Designator43,PDFN-8,105.5mm,47.75mm,105.5mm,47.75mm,104.2mm,48.73mm,T,270,Comment
Designator43_1,R0402,25.51mm,50.93mm,25.81mm,51.46mm,25.81mm,51.46mm,T,240,Comment
Designator44,QFN (4X4X0.9) MM,109.3mm,58.9mm,109.5mm,59mm,107.3mm,60.15mm,T,90,Comment
Designator44_1,R0402,12.07mm,47.61mm,11.54mm,47.91mm,11.54mm,47.91mm,T,330,Comment
Designator45_1,R0402,29.89mm,39.84mm,30.48mm,39.68mm,30.48mm,39.68mm,T,165,Comment
Designator46_1,R0402,23.06mm,51.99mm,23.22mm,52.58mm,23.22mm,52.58mm,T,255,Comment
Designator47_1,R0402,11.01mm,45.16mm,10.42mm,45.32mm,10.42mm,45.32mm,T,345,Comment
Designator48,QFN16-3MM,110.03mm,48mm,110mm,48mm,111.58mm,47.25mm,T,180,Comment
Designator50,QFN20,109.5mm,53mm,109.5mm,53mm,109.5mm,53mm,T,0,Comment
Designator51,QFN48 6X6,102.52mm,58.1mm,102.5mm,58.03mm,99.5mm,60.3mm,T,0,Comment
Designator52,QFN48 7X7,94mm,57.5mm,94mm,57.5mm,97.53mm,54.75mm,T,180,Comment
Designator53,QFN64,84mm,56mm,84mm,56mm,84mm,56mm,T,0,Comment
Designator56,SSOP28,46.18mm,39.87mm,46.27mm,39.87mm,50.4mm,43.5mm,T,270,Comment
Designator57,SSOP44K,46.5mm,53mm,46.5mm,53mm,49.95mm,46.17mm,T,180,Comment
R1,R0402,14.65mm,21.24mm,14.65mm,21.24mm,14.22mm,21.24mm,T,0,R0402
R2,R0805,4mm,20.95mm,4mm,20.95mm,3.03mm,20.95mm,T,0,R0805
R3,R0805,4mm,18.74mm,4mm,18.74mm,3.03mm,18.74mm,T,0,R0805
R4,R0805,3.93mm,16.34mm,3.93mm,16.34mm,2.96mm,16.34mm,T,0,R0805
R5,R0805,4mm,14.2mm,4mm,14.2mm,3.03mm,14.2mm,T,0,R0805
R6,R0805,4mm,11.79mm,4mm,11.79mm,3.03mm,11.79mm,T,0,R0805
R7,R0805,3.93mm,9.52mm,3.93mm,9.52mm,2.96mm,9.52mm,T,0,R0805
R8,R0805,4mm,7.25mm,4mm,7.25mm,3.03mm,7.25mm,T,0,R0805
R9,R0805,4mm,4.97mm,4mm,4.97mm,3.03mm,4.97mm,T,0,R0805
R10,R0805,4.01mm,2.93mm,4.01mm,2.93mm,3.04mm,2.93mm,T,0,R0805
R11,R0805,29.15mm,27.59mm,29.15mm,27.59mm,29.63mm,26.75mm,T,120,R0805
R12,R0805,25.12mm,25.87mm,25.12mm,25.87mm,25.37mm,24.94mm,T,105,R0805
R13,R0805,20.41mm,59.74mm,20.41mm,59.74mm,20.41mm,58.77mm,T,90,R0805
R14,R0805,20.48mm,25.19mm,20.48mm,25.19mm,20.48mm,24.22mm,T,90,R0805
R15,R0805,16mm,25.97mm,16mm,25.97mm,15.75mm,25.04mm,T,75,R0805
R34_1,0603',20.5mm,29.3mm,20.5mm,29.3mm,20.5mm,28.45mm,T,90,5K1
R37_1,0603',33.7mm,42.6mm,33.7mm,42.6mm,34.55mm,42.6mm,T,180,5K1
R86_1,0603',7.4mm,42.5mm,7.4mm,42.5mm,8.25mm,42.5mm,T,180,5K1
R87_1,0603',20.4mm,55.5mm,20.4mm,55.5mm,20.4mm,56.35mm,T,270,5K1
R88_1,0603',24.1mm,29.8mm,24.1mm,29.8mm,24.32mm,28.98mm,T,105,5K1
R89_1,0603',27.1mm,31.1mm,27.1mm,31.1mm,27.52mm,30.36mm,T,120,5K1
R90_1,0603',29.8mm,33mm,29.8mm,33mm,30.4mm,32.4mm,T,135,5K1
R91_1,0603',31.8mm,35.7mm,31.8mm,35.7mm,32.54mm,35.28mm,T,150,5K1
R92_1,0603',33.2mm,38.9mm,33.2mm,38.9mm,34.02mm,38.68mm,T,165,5K1
R93_1,0603',24mm,55.2mm,24mm,55.2mm,24.22mm,56.02mm,T,255,5K1
R94_1,0603',7.8mm,46.1mm,7.8mm,46.1mm,6.98mm,46.32mm,T,345,5K1
R95_1,0603',17.1mm,29.8mm,17.1mm,29.8mm,16.88mm,28.98mm,T,75,5K1
R96_1,0603',13.98mm,31.06mm,13.98mm,31.06mm,13.55mm,30.33mm,T,60,5K1
R97_1,0603',9.2mm,49.2mm,9.2mm,49.2mm,8.46mm,49.62mm,T,330,5K1
R98_1,0603',27.1mm,53.8mm,27.1mm,53.8mm,27.52mm,54.54mm,T,240,5K1
R99_1,0603',11.3mm,33.1mm,11.3mm,33.1mm,10.7mm,32.5mm,T,45,5K1
R100_1,0603',11.2mm,51.8mm,11.2mm,51.8mm,10.6mm,52.4mm,T,315,5K1
R101_1,0603',29.8mm,51.8mm,29.8mm,51.8mm,30.4mm,52.4mm,T,225,5K1
R102_1,0603',7.9mm,38.9mm,7.9mm,38.9mm,7.08mm,38.68mm,T,15,5K1
R103_1,0603',33.2mm,46mm,33.2mm,46mm,34.02mm,46.22mm,T,195,5K1
R104_1,0603',17mm,55.1mm,17mm,55.1mm,16.78mm,55.92mm,T,285,5K1
R105_1,0603',13.9mm,53.9mm,13.9mm,53.9mm,13.47mm,54.64mm,T,300,5K1
R106_1,0603',31.9mm,49mm,31.9mm,49mm,32.64mm,49.43mm,T,210,5K1
R107_1,0603',9.2mm,35.8mm,9.2mm,35.8mm,8.46mm,35.38mm,T,30,5K1
R108,0603',11.5mm,2.9mm,11.5mm,2.9mm,12.35mm,2.9mm,T,180,5K1
R108_1,0603',32.5mm,2.9mm,32.5mm,2.9mm,33.35mm,2.9mm,T,180,5K1
