Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
R108_1_1,0603',29mm,2.9mm,29mm,2.9mm,29.85mm,2.9mm,T,180,5K1
R108_2,0603',53.5mm,2.9mm,53.5mm,2.9mm,54.35mm,2.9mm,T,180,5K1
R108_2_1,0603',50mm,2.9mm,50mm,2.9mm,50.85mm,2.9mm,T,180,5K1
R108_6,0603',8mm,2.9mm,8mm,2.9mm,8.85mm,2.9mm,T,180,5K1
R109,0603',11.5mm,4.71mm,11.5mm,4.71mm,12.35mm,4.71mm,T,180,5K1
R109_1,0603',32.5mm,4.71mm,32.5mm,4.71mm,33.35mm,4.71mm,T,180,5K1
R109_1_1,0603',29mm,4.71mm,29mm,4.71mm,29.85mm,4.71mm,T,180,5K1
R109_2,0603',53.5mm,4.71mm,53.5mm,4.71mm,54.35mm,4.71mm,T,180,5K1
R109_2_1,0603',50mm,4.71mm,50mm,4.71mm,50.85mm,4.71mm,T,180,5K1
R109_6,0603',8mm,4.71mm,8mm,4.71mm,8.85mm,4.71mm,T,180,5K1
R110,0603',11.5mm,6.52mm,11.5mm,6.52mm,12.35mm,6.52mm,T,180,5K1
R110_1,0603',32.5mm,6.52mm,32.5mm,6.52mm,33.35mm,6.52mm,T,180,5K1
R110_1_1,0603',29mm,6.52mm,29mm,6.52mm,29.85mm,6.52mm,T,180,5K1
R110_2,0603',53.5mm,6.52mm,53.5mm,6.52mm,54.35mm,6.52mm,T,180,5K1
R110_2_1,0603',50mm,6.52mm,50mm,6.52mm,50.85mm,6.52mm,T,180,5K1
R110_6,0603',8mm,6.52mm,8mm,6.52mm,8.85mm,6.52mm,T,180,5K1
R111,0603',11.5mm,8.33mm,11.5mm,8.33mm,12.35mm,8.33mm,T,180,5K1
R111_1,0603',32.5mm,8.33mm,32.5mm,8.33mm,33.35mm,8.33mm,T,180,5K1
R111_1_1,0603',29mm,8.33mm,29mm,8.33mm,29.85mm,8.33mm,T,180,5K1
R111_2,0603',53.5mm,8.33mm,53.5mm,8.33mm,54.35mm,8.33mm,T,180,5K1
R111_2_1,0603',50mm,8.33mm,50mm,8.33mm,50.85mm,8.33mm,T,180,5K1
R111_6,0603',8mm,8.33mm,8mm,8.33mm,8.85mm,8.33mm,T,180,5K1
R112,0603',11.5mm,10.14mm,11.5mm,10.14mm,12.35mm,10.14mm,T,180,5K1
R112_1,0603',32.5mm,10.14mm,32.5mm,10.14mm,33.35mm,10.14mm,T,180,5K1
R112_1_1,0603',29mm,10.14mm,29mm,10.14mm,29.85mm,10.14mm,T,180,5K1
R112_2,0603',53.5mm,10.14mm,53.5mm,10.14mm,54.35mm,10.14mm,T,180,5K1
R112_2_1,0603',50mm,10.14mm,50mm,10.14mm,50.85mm,10.14mm,T,180,5K1
R112_6,0603',8mm,10.14mm,8mm,10.14mm,8.85mm,10.14mm,T,180,5K1
R113,0603',11.5mm,11.95mm,11.5mm,11.95mm,12.35mm,11.95mm,T,180,5K1
R113_1,0603',32.5mm,11.95mm,32.5mm,11.95mm,33.35mm,11.95mm,T,180,5K1
R113_1_1,0603',29mm,11.95mm,29mm,11.95mm,29.85mm,11.95mm,T,180,5K1
R113_2,0603',53.5mm,11.95mm,53.5mm,11.95mm,54.35mm,11.95mm,T,180,5K1
R113_2_1,0603',50mm,11.95mm,50mm,11.95mm,50.85mm,11.95mm,T,180,5K1
R113_6,0603',8mm,11.95mm,8mm,11.95mm,8.85mm,11.95mm,T,180,5K1
R114,0603',11.5mm,13.76mm,11.5mm,13.76mm,12.35mm,13.76mm,T,180,5K1
R114_1,0603',32.5mm,13.76mm,32.5mm,13.76mm,33.35mm,13.76mm,T,180,5K1
R114_1_1,0603',29mm,13.76mm,29mm,13.76mm,29.85mm,13.76mm,T,180,5K1
R114_2,0603',53.5mm,13.76mm,53.5mm,13.76mm,54.35mm,13.76mm,T,180,5K1
R114_2_1,0603',50mm,13.76mm,50mm,13.76mm,50.85mm,13.76mm,T,180,5K1
R114_6,0603',8mm,13.76mm,8mm,13.76mm,8.85mm,13.76mm,T,180,5K1
R115,0603',11.5mm,15.57mm,11.5mm,15.57mm,12.35mm,15.57mm,T,180,5K1
R115_1,0603',32.5mm,15.57mm,32.5mm,15.57mm,33.35mm,15.57mm,T,180,5K1
R115_1_1,0603',29mm,15.57mm,29mm,15.57mm,29.85mm,15.57mm,T,180,5K1
R115_2,0603',53.5mm,15.57mm,53.5mm,15.57mm,54.35mm,15.57mm,T,180,5K1
R115_2_1,0603',50mm,15.57mm,50mm,15.57mm,50.85mm,15.57mm,T,180,5K1
R115_6,0603',8mm,15.57mm,8mm,15.57mm,8.85mm,15.57mm,T,180,5K1
R116,0603',11.5mm,17.38mm,11.5mm,17.38mm,12.35mm,17.38mm,T,180,5K1
R116_1,0603',32.5mm,17.38mm,32.5mm,17.38mm,33.35mm,17.38mm,T,180,5K1
R116_1_1,0603',29mm,17.38mm,29mm,17.38mm,29.85mm,17.38mm,T,180,5K1
R116_2,0603',53.5mm,17.38mm,53.5mm,17.38mm,54.35mm,17.38mm,T,180,5K1
R116_2_1,0603',50mm,17.38mm,50mm,17.38mm,50.85mm,17.38mm,T,180,5K1
R116_6,0603',8mm,17.38mm,8mm,17.38mm,8.85mm,17.38mm,T,180,5K1
R117,0603',11.5mm,19.19mm,11.5mm,19.19mm,12.35mm,19.19mm,T,180,5K1
R117_1,0603',32.5mm,19.19mm,32.5mm,19.19mm,33.35mm,19.19mm,T,180,5K1
R117_1_1,0603',29mm,19.19mm,29mm,19.19mm,29.85mm,19.19mm,T,180,5K1
R117_2,0603',53.5mm,19.19mm,53.5mm,19.19mm,54.35mm,19.19mm,T,180,5K1
R117_2_1,0603',50mm,19.19mm,50mm,19.19mm,50.85mm,19.19mm,T,180,5K1
R117_6,0603',8mm,19.19mm,8mm,19.19mm,8.85mm,19.19mm,T,180,5K1
R118,0603',8mm,21mm,8mm,21mm,8.85mm,21mm,T,180,5K1
R118_1,0603',32.5mm,21mm,32.5mm,21mm,33.35mm,21mm,T,180,5K1
R118_1_1,0603',29mm,21mm,29mm,21mm,29.85mm,21mm,T,180,5K1
R118_2,0603',53.5mm,21mm,53.5mm,21mm,54.35mm,21mm,T,180,5K1
R118_2_1,0603',50mm,21mm,50mm,21mm,50.85mm,21mm,T,180,5K1
R119,0603',11.5mm,21mm,11.5mm,21mm,12.35mm,21mm,T,180,5K1
R120,R0402,14.65mm,19.73mm,14.65mm,19.73mm,14.22mm,19.73mm,T,0,R0402
R121,R0402,14.65mm,18.22mm,14.65mm,18.22mm,14.22mm,18.22mm,T,0,R0402
R122,R0402,14.65mm,16.71mm,14.65mm,16.71mm,14.22mm,16.71mm,T,0,R0402
R123,R0402,14.65mm,15.2mm,14.65mm,15.2mm,14.22mm,15.2mm,T,0,R0402
R124,R0402,14.65mm,13.69mm,14.65mm,13.69mm,14.22mm,13.69mm,T,0,R0402
R125,R0402,14.65mm,12.19mm,14.65mm,12.19mm,14.22mm,12.19mm,T,0,R0402
R126,R0402,14.65mm,10.68mm,14.65mm,10.68mm,14.22mm,10.68mm,T,0,R0402
R127,R0402,14.65mm,9.17mm,14.65mm,9.17mm,14.22mm,9.17mm,T,0,R0402
R128,R0402,14.65mm,7.66mm,14.65mm,7.66mm,14.22mm,7.66mm,T,0,R0402
R129,R0402,14.65mm,6.15mm,14.65mm,6.15mm,14.22mm,6.15mm,T,0,R0402
R130,R0402,14.65mm,4.64mm,14.65mm,4.64mm,14.22mm,4.64mm,T,0,R0402
R131,R0402,14.65mm,3.14mm,14.65mm,3.14mm,14.22mm,3.14mm,T,0,R0402
R132,R0402,17.26mm,3.15mm,17.26mm,3.15mm,16.82mm,3.15mm,T,0,R0402
R133,R0402,17.26mm,4.66mm,17.26mm,4.66mm,16.82mm,4.66mm,T,0,R0402
R134,R0402,17.26mm,6.17mm,17.26mm,6.17mm,16.82mm,6.17mm,T,0,R0402
R135,R0402,17.26mm,7.68mm,17.26mm,7.68mm,16.82mm,7.68mm,T,0,R0402
R136,R0402,17.26mm,9.18mm,17.26mm,9.18mm,16.82mm,9.18mm,T,0,R0402
R137,R0402,17.26mm,10.69mm,17.26mm,10.69mm,16.82mm,10.69mm,T,0,R0402
R138,R0402,17.26mm,12.2mm,17.26mm,12.2mm,16.82mm,12.2mm,T,0,R0402
R139,R0402,17.26mm,13.71mm,17.26mm,13.71mm,16.82mm,13.71mm,T,0,R0402
R140,R0402,17.26mm,15.22mm,17.26mm,15.22mm,16.82mm,15.22mm,T,0,R0402
R141,R0402,17.26mm,16.73mm,17.26mm,16.73mm,16.82mm,16.73mm,T,0,R0402
R142,R0402,17.26mm,18.23mm,17.26mm,18.23mm,16.82mm,18.23mm,T,0,R0402
R143,R0402,17.26mm,19.74mm,17.26mm,19.74mm,16.82mm,19.74mm,T,0,R0402
R144,R0402,17.26mm,21.25mm,17.26mm,21.25mm,16.82mm,21.25mm,T,0,R0402
R145,R0402,35.66mm,2.95mm,35.66mm,2.95mm,35.22mm,2.95mm,T,0,R0402
R146,R0402,35.66mm,4.46mm,35.66mm,4.46mm,35.22mm,4.46mm,T,0,R0402
R147,R0402,35.66mm,5.97mm,35.66mm,5.97mm,35.22mm,5.97mm,T,0,R0402
R148,R0402,35.66mm,7.48mm,35.66mm,7.48mm,35.22mm,7.48mm,T,0,R0402
R149,R0402,35.66mm,8.98mm,35.66mm,8.98mm,35.22mm,8.98mm,T,0,R0402
R150,R0402,35.66mm,10.49mm,35.66mm,10.49mm,35.22mm,10.49mm,T,0,R0402
R151,R0402,35.66mm,12mm,35.66mm,12mm,35.22mm,12mm,T,0,R0402
R152,R0402,35.66mm,13.51mm,35.66mm,13.51mm,35.22mm,13.51mm,T,0,R0402
R153,R0402,35.66mm,15.02mm,35.66mm,15.02mm,35.22mm,15.02mm,T,0,R0402
R154,R0402,35.66mm,16.53mm,35.66mm,16.53mm,35.22mm,16.53mm,T,0,R0402
R155,R0402,35.66mm,18.03mm,35.66mm,18.03mm,35.22mm,18.03mm,T,0,R0402
R156,R0402,35.66mm,19.54mm,35.66mm,19.54mm,35.22mm,19.54mm,T,0,R0402
R157,R0402,35.66mm,21.05mm,35.66mm,21.05mm,35.22mm,21.05mm,T,0,R0402
R158,R0402,38.26mm,2.85mm,38.26mm,2.85mm,37.82mm,2.85mm,T,0,R0402
R159,R0402,38.26mm,4.36mm,38.26mm,4.36mm,37.82mm,4.36mm,T,0,R0402
R160,R0402,38.26mm,5.87mm,38.26mm,5.87mm,37.82mm,5.87mm,T,0,R0402
R161,R0402,38.26mm,7.38mm,38.26mm,7.38mm,37.82mm,7.38mm,T,0,R0402
R162,R0402,38.26mm,8.88mm,38.26mm,8.88mm,37.82mm,8.88mm,T,0,R0402
R163,R0402,38.26mm,10.39mm,38.26mm,10.39mm,37.82mm,10.39mm,T,0,R0402
R164,R0402,38.26mm,11.9mm,38.26mm,11.9mm,37.82mm,11.9mm,T,0,R0402
R165,R0402,38.26mm,13.41mm,38.26mm,13.41mm,37.82mm,13.41mm,T,0,R0402
R166,R0402,38.26mm,14.92mm,38.26mm,14.92mm,37.82mm,14.92mm,T,0,R0402
R167,R0402,38.26mm,16.43mm,38.26mm,16.43mm,37.82mm,16.43mm,T,0,R0402
R168,R0402,38.26mm,17.93mm,38.26mm,17.93mm,37.82mm,17.93mm,T,0,R0402
R169,R0402,38.26mm,19.44mm,38.26mm,19.44mm,37.82mm,19.44mm,T,0,R0402
R170,R0402,38.26mm,20.95mm,38.26mm,20.95mm,37.82mm,20.95mm,T,0,R0402
R171,R0402,56.56mm,2.95mm,56.56mm,2.95mm,56.12mm,2.95mm,T,0,R0402
R172,R0402,56.56mm,4.46mm,56.56mm,4.46mm,56.12mm,4.46mm,T,0,R0402
R173,R0402,56.56mm,5.97mm,56.56mm,5.97mm,56.12mm,5.97mm,T,0,R0402
R174,R0402,56.56mm,7.48mm,56.56mm,7.48mm,56.12mm,7.48mm,T,0,R0402
R175,R0402,56.56mm,8.98mm,56.56mm,8.98mm,56.12mm,8.98mm,T,0,R0402
R176,R0402,56.56mm,10.49mm,56.56mm,10.49mm,56.12mm,10.49mm,T,0,R0402
R177,R0402,56.56mm,12mm,56.56mm,12mm,56.12mm,12mm,T,0,R0402
R178,R0402,56.56mm,13.51mm,56.56mm,13.51mm,56.12mm,13.51mm,T,0,R0402
R179,R0402,56.56mm,15.02mm,56.56mm,15.02mm,56.12mm,15.02mm,T,0,R0402
R180,R0402,56.56mm,16.53mm,56.56mm,16.53mm,56.12mm,16.53mm,T,0,R0402
R181,R0402,56.56mm,18.03mm,56.56mm,18.03mm,56.12mm,18.03mm,T,0,R0402
R182,R0402,56.56mm,19.54mm,56.56mm,19.54mm,56.12mm,19.54mm,T,0,R0402
R183,R0402,56.56mm,21.05mm,56.56mm,21.05mm,56.12mm,21.05mm,T,0,R0402
R184,R0402,59.26mm,2.95mm,59.26mm,2.95mm,58.82mm,2.95mm,T,0,R0402
R185,R0402,59.26mm,4.46mm,59.26mm,4.46mm,58.82mm,4.46mm,T,0,R0402
R186,R0402,59.26mm,5.97mm,59.26mm,5.97mm,58.82mm,5.97mm,T,0,R0402
R187,R0402,59.26mm,7.48mm,59.26mm,7.48mm,58.82mm,7.48mm,T,0,R0402
R188,R0402,59.26mm,8.98mm,59.26mm,8.98mm,58.82mm,8.98mm,T,0,R0402
R189,R0402,59.26mm,10.49mm,59.26mm,10.49mm,58.82mm,10.49mm,T,0,R0402
R190,R0402,59.26mm,12mm,59.26mm,12mm,58.82mm,12mm,T,0,R0402
R191,R0402,59.26mm,13.51mm,59.26mm,13.51mm,58.82mm,13.51mm,T,0,R0402
R192,R0402,59.26mm,15.02mm,59.26mm,15.02mm,58.82mm,15.02mm,T,0,R0402
R193,R0402,59.26mm,16.53mm,59.26mm,16.53mm,58.82mm,16.53mm,T,0,R0402
R194,R0402,59.26mm,18.03mm,59.26mm,18.03mm,58.82mm,18.03mm,T,0,R0402
R195,R0402,59.26mm,19.54mm,59.26mm,19.54mm,58.82mm,19.54mm,T,0,R0402
R196,R0402,59.26mm,21.05mm,59.26mm,21.05mm,58.82mm,21.05mm,T,0,R0402
R197,R0805,25.13mm,3.12mm,25.13mm,3.12mm,24.16mm,3.12mm,T,0,R0805
R198,R0805,25.12mm,5.16mm,25.12mm,5.16mm,24.15mm,5.16mm,T,0,R0805
R199,R0805,25.12mm,7.44mm,25.12mm,7.44mm,24.15mm,7.44mm,T,0,R0805
R200,R0805,25.05mm,9.71mm,25.05mm,9.71mm,24.08mm,9.71mm,T,0,R0805
R201,R0805,25.12mm,11.98mm,25.12mm,11.98mm,24.15mm,11.98mm,T,0,R0805
R202,R0805,25.12mm,14.39mm,25.12mm,14.39mm,24.15mm,14.39mm,T,0,R0805
R203,R0805,25.05mm,16.53mm,25.05mm,16.53mm,24.08mm,16.53mm,T,0,R0805
R204,R0805,25.12mm,18.93mm,25.12mm,18.93mm,24.15mm,18.93mm,T,0,R0805
R205,R0805,25.12mm,21.14mm,25.12mm,21.14mm,24.15mm,21.14mm,T,0,R0805
R206,R0805,46.18mm,3.19mm,46.18mm,3.19mm,45.21mm,3.19mm,T,0,R0805
R207,R0805,46.17mm,5.23mm,46.17mm,5.23mm,45.2mm,5.23mm,T,0,R0805
R208,R0805,46.17mm,7.51mm,46.17mm,7.51mm,45.2mm,7.51mm,T,0,R0805
R209,R0805,46.1mm,9.78mm,46.1mm,9.78mm,45.13mm,9.78mm,T,0,R0805
R210,R0805,46.17mm,12.05mm,46.17mm,12.05mm,45.2mm,12.05mm,T,0,R0805
R211,R0805,46.17mm,14.46mm,46.17mm,14.46mm,45.2mm,14.46mm,T,0,R0805
R212,R0805,46.1mm,16.6mm,46.1mm,16.6mm,45.13mm,16.6mm,T,0,R0805
R213,R0805,46.17mm,19mm,46.17mm,19mm,45.2mm,19mm,T,0,R0805
R214,R0805,46.17mm,21.21mm,46.17mm,21.21mm,45.2mm,21.21mm,T,0,R0805
R215,R0805,67.44mm,3.12mm,67.44mm,3.12mm,66.47mm,3.12mm,T,0,R0805
R216,R0805,67.43mm,5.16mm,67.43mm,5.16mm,66.46mm,5.16mm,T,0,R0805
R217,R0805,67.43mm,7.44mm,67.43mm,7.44mm,66.46mm,7.44mm,T,0,R0805
R218,R0805,67.36mm,9.71mm,67.36mm,9.71mm,66.39mm,9.71mm,T,0,R0805
R219,R0805,67.43mm,11.98mm,67.43mm,11.98mm,66.46mm,11.98mm,T,0,R0805
R220,R0805,67.43mm,14.39mm,67.43mm,14.39mm,66.46mm,14.39mm,T,0,R0805
R221,R0805,67.36mm,16.53mm,67.36mm,16.53mm,66.39mm,16.53mm,T,0,R0805
R222,R0805,67.43mm,18.93mm,67.43mm,18.93mm,66.46mm,18.93mm,T,0,R0805
R223,R0805,67.43mm,21.14mm,67.43mm,21.14mm,66.46mm,21.14mm,T,0,R0805
R224,R0805,25.01mm,59.11mm,25.01mm,59.11mm,25.26mm,60.04mm,T,255,R0805
R225,R0805,29.3mm,57.32mm,29.3mm,57.32mm,29.78mm,58.16mm,T,240,R0805
R226,R0805,32.74mm,54.63mm,32.74mm,54.63mm,33.42mm,55.31mm,T,225,R0805
R227,R0805,35.43mm,51.15mm,35.43mm,51.15mm,36.27mm,51.63mm,T,210,R0805
R228,R0805,37.11mm,47.1mm,37.11mm,47.1mm,38.04mm,47.35mm,T,195,R0805
R229,R0805,37.76mm,42.61mm,37.76mm,42.61mm,38.73mm,42.61mm,T,180,R0805
R230,R0805,37.11mm,37.79mm,37.11mm,37.79mm,38.04mm,37.54mm,T,165,R0805
R231,R0805,35.29mm,33.63mm,35.29mm,33.63mm,36.13mm,33.15mm,T,150,R0805
R232,R0805,32.67mm,30.23mm,32.67mm,30.23mm,33.35mm,29.55mm,T,135,R0805
R233,R0805,15.88mm,59.16mm,15.88mm,59.16mm,15.63mm,60.09mm,T,285,R0805
R234,R0805,11.86mm,57.43mm,11.86mm,57.43mm,11.38mm,58.27mm,T,300,R0805
R235,R0805,8.33mm,54.67mm,8.33mm,54.67mm,7.65mm,55.35mm,T,315,R0805
R236,R0805,5.64mm,51.31mm,5.64mm,51.31mm,4.8mm,51.79mm,T,330,R0805
R237,R0805,3.86mm,47.12mm,3.86mm,47.12mm,2.93mm,47.37mm,T,345,R0805
R238,R0805,3.18mm,42.51mm,3.18mm,42.51mm,2.21mm,42.51mm,T,0,R0805
R239,R0805,3.78mm,37.81mm,3.78mm,37.81mm,2.85mm,37.56mm,T,15,R0805
R240,R0805,5.63mm,33.72mm,5.63mm,33.72mm,4.79mm,33.24mm,T,30,R0805
R241,R0805,8.4mm,30.21mm,8.4mm,30.21mm,7.72mm,29.53mm,T,45,R0805
R242,R0805,11.89mm,27.48mm,11.89mm,27.48mm,11.41mm,26.64mm,T,60,R0805
U1,LQFP100_N,74.5mm,32mm,74.5mm,32mm,66.95mm,38mm,T,0,STM32F103VCT6
U2,SO-16,56.21mm,44.63mm,53.06mm,44.71mm,53.41mm,49.08mm,T,0,DS3231
U3,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,80.2mm,48.19mm,80.2mm,48.19mm,81.35mm,47.24mm,T,0,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR
U6,SO-16,56.21mm,55.9mm,53.06mm,55.98mm,53.41mm,60.35mm,T,0,DS3231
U7,W25X16,65.5mm,58.5mm,65.5mm,58.5mm,61.92mm,60.41mm,T,0,W25Q64
U14,SOIC8_N,74.5mm,58.5mm,74.5mm,58.5mm,72.1mm,60.41mm,T,0,AT24C02
U15,W25X16,65.5mm,52mm,65.5mm,52mm,61.92mm,53.9mm,T,0,W25Q64
U16,W25X16,65.5mm,45.5mm,65.5mm,45.5mm,61.92mm,47.41mm,T,0,W25Q64
U17,LQFP64_N,58.5mm,30mm,58.5mm,30mm,52.95mm,33.75mm,T,0,STM32F103R8T6
U18,LQFP48_N,46mm,28.5mm,46mm,28.5mm,41.95mm,31.25mm,T,0,STM32F103C8T6
U20,SOIC8_N,74.5mm,52.5mm,74.5mm,52.5mm,72.1mm,54.41mm,T,0,AT24C02
U21,SOIC8_N,74.5mm,46mm,74.5mm,46mm,72.1mm,47.9mm,T,0,AT24C02
U22,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,84mm,48.19mm,84mm,48.19mm,84.95mm,49.34mm,T,90,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR
U23,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,87.8mm,48.19mm,87.8mm,48.19mm,86.65mm,49.14mm,T,180,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR
U24,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,91.4mm,48.19mm,91.4mm,48.19mm,90.45mm,47.04mm,T,270,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR
U25,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,95.34mm,48.52mm,95mm,48.19mm,96.48mm,48.33mm,T,45,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR
U26,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,99.46mm,48.2mm,99.8mm,48.54mm,98.32mm,48.39mm,T,225,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR
